SOC code,Occupational group,Overall,Male,Female
45,"Farming, fishing, and forestry",84.5,90.5,—†
47,Construction and extraction,53.3,52.5,—
49,"Installation, maintenance, and repair",47.9,47.5,—
51,Production,34.5,39.5,10.8
17,Architecture and engineering,32.2,36.3,—
33,Protective service,30.5,34.1,14.1
27,"Arts, design, entertainment, sports,",24.3,32.9,12.4
"",and media,,,
15,Computer and mathematical,23.3,32.8,12.5
53,Transportation and material moving,22.3,30.2,4.8
11,Management,20.3,27.4,8.4
23,Legal,18.8,24.2,13.9
29,Healthcare practitioners and technical,17.4,31.6,13.3
19,"Life, physical, and social science",16.7,23.7,—
13,Business and financial operations,15.9,20.4,10.3
31,Health care support,14.6,32.9,11.8
21,Community and social service,13.6,18.6,8.9
41,Sales and related,13.4,21.0,5.3
37,Building and grounds cleaning and,13.3,16.5,4.5
"",maintenance,,,
35,Food preparation and serving related,12.8,19.3,7.7
39,Personal care and service,8.0,17.2,4.9
43,Office and administrative support,7.9,15.2,5.3
25,"Education, training, and library",7.5,15.1,4.7
Total,,20.3,39.2,12.4
